Last Name,First Name,Uci Net,Concentration,Area of Expertise,Programming,Past Experience,Courses Taken
Smith11,Joe11,Smith11,,"Area of expertise: data science and network science. I have worked with data processing and graph theory, applied to problems such as criminology. I have teaching experience, including online courses.",Python is the language I have most experience with. I am also familiar with Linux and Windows.,CourseTitleInstructorPositionWhenICS�31Introduction to ProgrammingShannon AlfaroTA2022-fallICS�139WCritical WritingMustafa IbrahimTA2023-winterICS�32Programming with Software LibrariesMustafa IbrahimTA2023-spring,CourseTitleGrWhenICS�399UNIVERSITY TEACHINGS202303CS�295INNOV & PRODUCT DEVA202303CS�263ANALYSIS OF ALGRTHMA202303INF�231USER INT DES&EVALA202292ICS�399UNIVERSITY TEACHINGS202292ICS�398ATA TRAINING SEMINARS202292CS�271INTRO ARTIFCL INTELA202292
Smith12,Joe12,Smith12,DATA SCIENCE,"I am a MDS student and I am applying the grader position.  I majored computer science during my undergraduate. So I have taken the courses from the database, data structure, algorithm, programming language courses(c, c++, java), and to the computer security, network and etc. Also, I have taken Statistics courses and taking 2 stats courses this quarter. I am doing grader for stats 67 in this quarter.","I have more than 4 years experience for SQL, java, C++.  I mainly use Windows and I prefer SQL or Statistics courses!","CourseTitleInstructorPositionWhenSTAT�67INTRO PROB&STATGulesserian, SReader2023-spring",CourseTitleGrWhenSTATS�210PSTATS METHODS IA202303STATS�200BPINT PROB&STAT TH IIA202303CS�273PMACH LRN & DATA MINA+202303STATS�200APINT PROB & STAT THIA+202292CS�271PARTIFICIAL INTELLIGA202292CS�220PDATABAS & DATA MGMTA202292
Smith13,Joe13,Smith13,,"I consider the areas of my expertise to be computer security, basic coding, and Machine Learning. I do not have any experience in teaching online courses, however, in my undergraduate life I used to do peer tutoring. During the Winter quarter of '23, I had the opportunity to serve as a teaching assistant for the computer science course CS141. This Spring'23 quarter, I am continuing my role as a TA for the ICS 46","Before starting Ph.D., I was a full-time Software Engineer at Samsung R&D, Bangladesh. Thus I have 4 years of industry experience in C, C++, Java, and python across the Linux and Windows platforms.",CourseTitleInstructorPositionWhenCS�CoreConceptsOfProgrammingLanguage1Raymond KlefstadTA2023-winter,CourseTitleGrWhenICS�399UNIVERSITY TEACHINGS202303ICS�398ATA TRAINING SEMINARS202303CS�274APROB LEARNINGB+202303CS�216IMAGE UNDERSTANDINGA202303
Smith14,Joe14,Smith14,Computer Science,"I have 4+ years of experience as a software engineer at Parabole. My areas of expertise revolve around databases, cloud, object oriented programming, machine learning. Apart from this I have completed many computer science courses in my bachelors as well as my masters. Some of them are: Data Structures, Algorithms, Object Oriented Programming, Operating Systems, Database Systems, Machine Learning & Data Mining, Text Processing, Software Engineering, Deep Learning, Internet of Things, Computer Security, Artificial Intelligence, Mathematics, Computer Networks, Automata Theory, Computer Architecture, Internet Programming, Cryptography, Cloud Computing, Software Design, Soft Computing, Operation Research, Big Data Analytics, User Interaction Design, Devops, Python Programming, Java Programming, C Programming, C++ Programming, R Programming","Programming languages: Python (professional experience 6 years), C++ (4 years), C (2 years), Java (1 year experience) SQL: professional experience (4) Linux: 7 Windows: 10  Technologies: Apache NiFi, Flask, Apache Kafka, REST APIs, PostgreSQL, Microsoft Azure, Kubernetes, Docker",,CourseTitleGrWhenCS�295PKEYSTONE PROJ CSA202303CS�273PMACH LRN & DATA MINA202303CS�261PDATA STRUCTURESA202303CS�271PARTIFICIAL INTELLIGA202292CS�253PADV PROG PROB SOLVA+202292CS�238POPERATING SYSTEMSA202292
Smith15,Joe15,Smith15,,"My area of expertise in Computer Science is machine learning. I completed my BS degree at UC Irvine as a computer science major undergraduate with a specialization track in artificial intelligence and machine learning. I had some tutoring experiences at UC Irvine. I helped students with Python courses (ICS 32A, ICS 33). I was also a tutor at Santa Monica College. I helped students with C, C++, Java, and HLA related courses. I am working as a TA in the FALL 2021 quarter at UCI.","I have some experience in C, C++, Java, Python, and SQL. I took programming courses in C, C++, Java, and Python (ICS32A and ICS33). I have also taken CS 122A, which is related to SQL at UC Irvine. Moreover, Python and C are my main languages when doing research and writing class projects. I have some experience with the Windows and macOS operating systems.",CourseTitleInstructorPositionWhenCS�121Information RetrievalAlberto Krone-MartinsTA2021-fall,CourseTitleGrWhenSWE�234HUMAN ASPECTS OF SEA+202303CS�274EDEEP GENRTV MODELSA+202292ICS�399UNIVERSITY TEACHINGS202214CS�272STATISTICAL NLPA202214CS�242PARALLEL COMPUTINGB+202214ICS�399UNIVERSITY TEACHINGS202203CS�273AMACHINE LEARNINGA+202203CS�230DIST COMPUTER SYSA+202203SWE�211SOFTWARE ENGINEERNGA+202192ICS�399UNIVERSITY TEACHINGS202192ICS�398ATA TRAINING SEMINARS202192CS�271INTRO ARTIFCL INTELA202192
Smith16,Joe16,Smith16,,"Embedded System, information retrieval","Python,  Windows","CourseTitleInstructorPositionWhenICS�6NCOMP LINEAR ALGEBRAGopi MeenakshisundaramTA2022-fallICS�51INTRO COMPUTER ORGBOZORGZADEH, EliTA2023-springCS�145Embedded Software & Associated Lab Tony GivargisReader2020-springINF�141INFRMTION RETRIEVALKRONE MARTINS, AReader2021-winter",CourseTitleGrWhenICS�399UNIVERSITY TEACHINGS202303CS�230DIST COMPUTER SYSA-202303ICS�399UNIVERSITY TEACHINGS202292ICS�398ATA TRAINING SEMINARS202292CS�216IMAGE UNDERSTANDINGA+202214CS�290RESEARCH SEMINARS202203CS�295BLOCKCHAIN SYSTEMSA-202203CS�213INTRO TO VIS PERCEPA202203CS�290RESEARCH SEMINARS202192CS�284AAI IN BIO AND MEDA+202192CS�201CRYPTO PROTOCOLSB+202192CS�290RESEARCH SEMINARS202114CS�259SSEM DESIGN SCIENCES202114CS�250BMODERN COMP SYSA+202114CS�203NTWK & DIST SYS SECB202114CS�290RESEARCH SEMINARS202103CS�260FUND ALGORITHMSA202103CS�259SSEM DESIGN SCIENCES202103CS�206SCI COMPUTINGB+202103CS�290RESEARCH SEMINARS202092CS�273AMACHINE LEARNINGA202092CS�244INTR EMBED UBIQ SYSA+202092
Smith17,Joe17,Smith17,ML/AI,"My area of expertise is data science/ machine learning and neuroscience. As a cognitive science undergraduate student in the past, I was an instructional assistant for an introductory data science class. I am well versed in Python, object oriented programming,  and basic data science concepts. I do have experience teaching two quarters of online classes.","I have limited experience with JAVA, C, C++, SQL (a few courses). The languages I am super comfortable with are MATLAB and Python, and have worked toward research projects involving both.",CourseTitleInstructorPositionWhenCS�GS108/STATS�6Introduction to Data ScienceJason FleischerReader2022-winterINF�161Social Analysis of Computing Arpita BhattacharyaTA2022-fallINF�113Requirement Analysis & EngineeringEmily NavarroTA2023-winterINF�113Requirement Analysis & EngineeringEmily NavarroTA2023-spring,CourseTitleGrWhenICS�399UNIVERSITY TEACHINGS202303CS�274APROB LEARNINGB+202303CS�263ANALYSIS OF ALGRTHMA202303CS�216IMAGE UNDERSTANDINGA202303ICS�399UNIVERSITY TEACHINGS202292ICS�398ATA TRAINING SEMINARS202292CS�256SYSTEMS AND MLA202292CS�206SCI COMPUTINGA-202292
Smith18,Joe18,Smith18,Computer Science,"High Performance Computing  and Algorithm development for specific Architectures.  Taught the Lab for an online course as a TA, but Students were still required to attend the Lab.","Familiar with Java & VHDL, Proficient with C, C++, Unix. Proficient Windows user.",CourseTitleInstructorPositionWhenICS�51Intro to Computer OrganizationA. NicolauTA2019-fallICS�53Principles in System DesignJ. Wong-MaTA2021-springEECS�22Advanced C ProgrammingR. DoemerTA2017-fallCS�265Graph AlgorithmsD. EppsteinReader2022-winter,CourseTitleGrWhenICS�399UNIVERSITY TEACHINGS202114ICS�399UNIVERSITY TEACHINGS202103ICS�399UNIVERSITY TEACHINGS202092CS�250BMODERN MICROPROCESRB+202014CS�273AMACHINE LEARNINGA-202003ICS�399UNIVERSITY TEACHINGS201992ICS�398ATA TRAINING SEMINARS201992CS�271INTRO ARTIFCL INTELA-201992CS�243HIGH PERFRMCE ARCHA+201792
Smith19,Joe19,Smith19,Computer Engineering,"Programming in Python is considered my expertise. But I can grasp and work on any programming language in least amount of time with ease. Languages I know include: Python, C, C++, C#,  VHDL, Basics of SQL. Received certification for the course Data Structures and Algorithms. Computer Communication Networks and Computer Networks lab were taken as a part of Undergraduate studies. I do not have any experience teaching online courses.","Operating Systems:  I have mostly used and worked using a Windows laptop for all my project work during Undergraduate studies and during my work at Collins Aerospace for various tasks. I have used Linux (Ubuntu) for one of my project tasks during my work experience at Collins Aerospace. Languages: Python:  Worked on automation in various projects by developing tools to make software development easier which include:     1. A tool that generated binary configuration tables based on a data provided in CSV files and calculating parameters based on ARINC  653      Communication protocol used in an FCC of a helicopter.     2. Developed a tool that extracts data from IBM DOORS and Synergy, store it in an Object-Oriented database created using ZODB package     3. Was a part of Tool developed using PyQT for calculating some mechanical parameters for an extended mechanical team. C#: Developed code in C# for a part inventory Management System for Collins Aerospace as a part of upgrade to the application written in     VB6. The access to database was using SQL where data was stored in Oracle Database. SQL: Developed code in C# for a part inventory Management System for Collins Aerospace as a part of upgrade to the application written in     VB6. The access to database was using SQL where data was stored in Oracle Database. C++: Had taken C++ as a part of elective in the undergraduate curriculum. Practiced implementation on HackerRank and received      certification which is attached in the following LinkedIn profile.  C:  Was a part of curriculum in undergraduate studies.     1.Was part of Secure Boot project as a support in deploying it on an NXP board with ARM processor where programming was done in C.    2.Had a laboratory practice exam also as a part of Curriculum along with theory classes.     3.MSP430 Microcontroller workshop implementation was carried out in C.    4.Laboratory for ARM Cortex M3 Microcontroller was carried out in C    5.Practiced implementation on HackerRank and received certification which is attached in the following LinkedIn profile.  Java: Have undertaken a course to learn Java and practiced implementation on HackerRank to receive certification which is attached in the      following LinkedIn Profile. VHDL: Had hands on experience in programming with VHDL as my final year project was based on converting  an Analog Circuit to work on      a digital medium i.e., an Xilinx Spartan FPGA by coding in VHDL . LinkedIn Profile: www.linkedin.com/in/ bhavya-chunchu-31843a93",CourseTitleInstructorPositionWhenINF�124Internet applications EngineeringMohammad MoshirpourTA2023-winterICS�31Intro to ProgrammingMohammad MoshirpourTA2023-spring,
Smith20,Joe20,Smith20,,"Linear algebra, artificial intelligence, machine learning, discrete math, python, optimization, graph theory, anything that is math heavy.","Experience with Java (3 semesters of classes), a couple big projects in Java.",CourseTitleInstructorPositionWhenCS�171Intro to AIK. KaskTA2021-fallCS�171Intro to AIK. KaskTA2021-spring,CourseTitleGrWhenICS�399UNIVERSITY TEACHINGS202303CS�260FUND ALGORITHMSA-202303CS�230DIST COMPUTER SYSA+202303CS�275CONSTRAINT NETWORKSA202292CS�274EDEEP GENRTV MODELSA+202292CS�232CMPTR & COMM NTWRKSB+202292ICS�399UNIVERSITY TEACHINGS202214CS�295BRAIN-INSPIRED LRNGA+202214CS�247COMPLX SW SYS: PROJA202214ICS�399UNIVERSITY TEACHINGS202203CS�295CAUSAL REASONINGA-202203CS�273AMACHINE LEARNINGA202203ICS�399UNIVERSITY TEACHINGS202192ICS�398ATA TRAINING SEMINARS202192CS�276RSN PROB GRAPH MODSA202192CS�271INTRO ARTIFCL INTELA202192
Smith21,Joe21,Smith21,,"I am more humanities focused with a background in sociology, so my area of expertise is in qualitative analysis of how systems interact and effect each other and society. I have no background in computer science or coding. My research is focused on video games.",Very limited advanced technical experience.,CourseTitleInstructorPositionWhenINF�289HCID IN INDUSTRYThomas OlsonTA2023-winterINF�148Ubiquitous ComputingKylie PepplerTA2022-winterINF�164ChildrenRebecca BlackTA2022-springINF�164ChildrenRebecca BlackTA2022-fall,"CourseTitleGrWhenINF�295PLAY,MAGIC&IDENTITYA+202303ICS�399UNIVERSITY TEACHINGS202303INF�295GAMES AND CULTUREA202292ICS�399UNIVERSITY TEACHINGS202292INF�290RESEARCH SEMINARS202214INF�207SSEM RESRCH & WRITNGS202214INF�205QUAN RSCH MTHDS-ISA+202214INF�290RESEARCH SEMINARS202203INF�232RESEARCH IN HCCA202203INF�203QUAL RSCH MTHDSA+202203ICS�399UNIVERSITY TEACHINGS202203INF�261SOC ANLY OF CMPTINGA+202192INF�201RES METH FOR IN4MTXA+202192ICS�399UNIVERSITY TEACHINGS202192ICS�398ATA TRAINING SEMINARS202192"
